學校代碼,校名,校系科組學程代碼,系名,招生群（類）別
101,國立臺灣科技大學,101001,機械工程系,01 機械群
101,國立臺灣科技大學,101002,機械工程系,02 動力機械群
101,國立臺灣科技大學,101003,材料科學與工程系,01 機械群
101,國立臺灣科技大學,101004,材料科學與工程系,03 電機與電子群電機類
101,國立臺灣科技大學,101005,材料科學與工程系,05 化工群
101,國立臺灣科技大學,101006,營建工程系,06 土木與建築群
101,國立臺灣科技大學,101007,化學工程系,05 化工群
101,國立臺灣科技大學,101008,電子工程系,04 電機與電子群資電類
101,國立臺灣科技大學,101009,電機工程系,03 電機與電子群電機類
101,國立臺灣科技大學,101010,資訊工程系,04 電機與電子群資電類
101,國立臺灣科技大學,101011,企業管理系,09 商業與管理群
101,國立臺灣科技大學,101012,資訊管理系,04 電機與電子群資電類
101,國立臺灣科技大學,101013,資訊管理系,09 商業與管理群
101,國立臺灣科技大學,101014,設計系工業設計組,07 設計群
101,國立臺灣科技大學,101015,設計系商業設計組,07 設計群
101,國立臺灣科技大學,101016,建築系,06 土木與建築群
101,國立臺灣科技大學,101017,建築系,07 設計群
101,國立臺灣科技大學,101018,應用外語系,15 外語群英語類
102,國立雲林科技大學,102001,機械工程系,01 機械群
102,國立雲林科技大學,102002,機械工程系,02 動力機械群
102,國立雲林科技大學,102003,電機工程系,03 電機與電子群電機類
102,國立雲林科技大學,102004,電機工程系,04 電機與電子群資電類
102,國立雲林科技大學,102005,電子工程系,03 電機與電子群電機類
102,國立雲林科技大學,102006,電子工程系,04 電機與電子群資電類
102,國立雲林科技大學,102007,環境與安全衛生工程系,01 機械群
102,國立雲林科技大學,102008,環境與安全衛生工程系,05 化工群
102,國立雲林科技大學,102009,環境與安全衛生工程系,04 電機與電子群資電類
102,國立雲林科技大學,102010,化學工程與材料工程系,05 化工群
102,國立雲林科技大學,102011,營建工程系,01 機械群
102,國立雲林科技大學,102012,營建工程系,06 土木與建築群
102,國立雲林科技大學,102013,資訊工程系,03 電機與電子群電機類
102,國立雲林科技大學,102014,資訊工程系,04 電機與電子群資電類
102,國立雲林科技大學,102015,工業工程與管理系,01 機械群
102,國立雲林科技大學,102016,工業工程與管理系,04 電機與電子群資電類
102,國立雲林科技大學,102017,工業工程與管理系,09 商業與管理群
102,國立雲林科技大學,102018,企業管理系,09 商業與管理群
102,國立雲林科技大學,102019,企業管理系,15 外語群英語類
102,國立雲林科技大學,102020,企業管理系,16 外語群日語類
102,國立雲林科技大學,102021,資訊管理系,21 資管類
102,國立雲林科技大學,102022,資訊管理系,04 電機與電子群資電類
102,國立雲林科技大學,102023,財務金融系,09 商業與管理群
102,國立雲林科技大學,102024,財務金融系,04 電機與電子群資電類
102,國立雲林科技大學,102025,會計系,09 商業與管理群
102,國立雲林科技大學,102026,國際管理學士學位學程,09 商業與管理群
102,國立雲林科技大學,102027,工業設計系,01 機械群
